表面颗粒信息:
序号	X坐标	Y坐标	半径	颜色编号
--------------------------------------------------
0	797.93	268.41	50.00	7
1	552.61	420.00	50.00	7
2	876.05	415.55	50.00	7
3	716.55	320.18	50.00	7
4	713.34	907.23	50.00	7
5	951.98	154.44	50.00	7
6	557.36	49.62	50.00	7
7	763.52	52.27	50.00	7
8	954.92	856.98	50.00	7
9	713.81	612.37	50.00	7
10	955.05	758.93	50.00	7
11	632.56	759.60	50.00	7
12	632.59	858.04	50.00	7
13	634.69	370.56	50.00	7
14	793.79	759.15	50.00	7
15	632.86	661.57	50.00	7
16	954.28	256.48	50.00	7
17	653.64	55.94	50.00	7
18	552.36	516.08	50.00	7
19	635.14	274.74	50.00	7
20	552.60	231.40	50.00	7
21	874.87	611.97	50.00	7
22	552.01	710.76	50.00	7
23	874.54	709.97	50.00	7
24	955.20	660.91	50.00	7
25	713.43	130.06	50.00	7
26	715.72	417.01	50.00	7
27	874.32	808.01	50.00	7
28	794.68	563.10	50.00	7
29	872.41	208.85	50.00	7
30	552.00	809.08	50.00	7
31	632.95	956.37	50.00	7
32	633.33	563.99	50.00	7
33	953.50	57.13	50.00	7
34	794.15	661.10	50.00	7
35	795.52	464.94	50.00	7
36	552.81	325.03	50.00	7
37	878.48	314.71	50.00	7
38	808.44	138.97	50.00	7
39	793.94	956.13	50.00	7
40	713.06	808.52	50.00	7
41	955.87	366.15	50.00	7
42	793.54	857.31	50.00	7
43	552.14	613.06	50.00	7
44	634.05	179.19	50.00	7
45	714.54	514.61	50.00	7
46	551.64	139.17	50.00	7
47	953.65	954.92	50.00	7
48	859.02	56.75	50.00	7
49	797.35	366.27	50.00	7
50	552.10	907.94	50.00	7
51	955.57	464.67	50.00	7
52	717.04	223.88	50.00	7
53	955.35	562.85	50.00	7
54	713.34	710.30	50.00	7
55	873.85	906.10	50.00	7
56	634.01	466.90	50.00	7
57	875.28	513.88	50.00	7
--------------------------------------------------
表面颗粒总数: 58
